     I;     Q
1.0000000000;0.0000000000
1.0000000000;0.0000000000
-1.0000000000;0.0000000000
-1.0000000000;0.0000000000
0.8660254038;-0.5000000000
0.8660254038;-0.5000000000
-0.5000000000;0.8660254038
-0.5000000000;0.8660254038
0.8660254038;0.5000000000
0.8660254038;0.5000000000
-0.5000000000;0.8660254038
-0.5000000000;0.8660254038
0.5000000000;-0.8660254038
0.5000000000;-0.8660254038
-0.8660254038;0.5000000000
-0.8660254038;0.5000000000
0.0000000000;-1.0000000000
0.0000000000;-1.0000000000
0.8660254038;0.5000000000
0.8660254038;0.5000000000
-0.8660254038;-0.5000000000
-0.8660254038;-0.5000000000
0.5000000000;0.8660254038
0.5000000000;0.8660254038
0.0000000000;-1.0000000000
0.0000000000;-1.0000000000
0.7071067812;0.7071067812
0.7071067812;0.7071067812
-0.8660254038;-0.5000000000
-0.8660254038;-0.5000000000
0.0000000000;1.0000000000
0.0000000000;1.0000000000
